800x600;-Xms90m;Windows10;1;78164;22:04:40;1 
1024x768;-Xms90m;Windows10;1;75327;22:06:01;1 
1280x1024;-Xms90m;Windows10;0;48411;22:06:55;1 
2560x1080;-Xms90m;Windows10;0;48125;22:07:49;1 
800x600;-Xms90m;Windows10;1;70416;22:09:05;3 
1024x768;-Xms90m;Windows10;1;69260;22:10:20;3 
1280x1024;-Xms90m;Windows10;0;35428;22:11:02;3 
2560x1080;-Xms90m;Windows10;0;33866;22:11:41;3 
800x600;-Xms90m;Windows10;1;68243;22:12:55;7 
1024x768;-Xms90m;Windows10;1;67267;22:14:08;7 
1280x1024;-Xms90m;Windows10;0;33959;22:14:48;7 
2560x1080;-Xms90m;Windows10;0;30705;22:15:24;7 
800x600;-Xms120m;Windows10;1;71187;22:16:41;1 
1024x768;-Xms120m;Windows10;1;70493;22:17:57;1 
1280x1024;-Xms120m;Windows10;0;43186;22:18:46;1 
2560x1080;-Xms120m;Windows10;0;39790;22:19:32;1 
800x600;-Xms120m;Windows10;1;69761;22:20:47;3 
1024x768;-Xms120m;Windows10;1;68894;22:22:02;3 
1280x1024;-Xms120m;Windows10;0;35001;22:22:43;3 
2560x1080;-Xms120m;Windows10;0;33461;22:23:22;3 
800x600;-Xms120m;Windows10;1;68338;22:24:36;7 
1024x768;-Xms120m;Windows10;1;68476;22:25:50;7 
1280x1024;-Xms120m;Windows10;0;32266;22:26:28;7 
2560x1080;-Xms120m;Windows10;0;31550;22:27:05;7 
800x600;-Xms240m;Windows10;1;77443;22:28:28;1 
1024x768;-Xms240m;Windows10;1;75791;22:29:50;1 
1280x1024;-Xms240m;Windows10;0;45302;22:30:41;1 
2560x1080;-Xms240m;Windows10;0;42201;22:31:29;1 
800x600;-Xms240m;Windows10;1;68982;22:32:44;3 
1024x768;-Xms240m;Windows10;1;68997;22:33:59;3 
1280x1024;-Xms240m;Windows10;0;35101;22:34:40;3 
2560x1080;-Xms240m;Windows10;0;35457;22:35:21;3 
800x600;-Xms240m;Windows10;1;67122;22:36:34;7 
1024x768;-Xms240m;Windows10;1;67046;22:37:46;7 
1280x1024;-Xms240m;Windows10;1;73636;22:39:05;7 
2560x1080;-Xms240m;Windows10;0;31460;22:39:42;7 
800x600;-Xms520m;Windows10;1;71670;22:41:00;1 
1024x768;-Xms520m;Windows10;1;75547;22:42:21;1 
1280x1024;-Xms520m;Windows10;0;35921;22:43:03;1 
2560x1080;-Xms520m;Windows10;0;37792;22:43:47;1 
800x600;-Xms520m;Windows10;1;69488;22:45:02;3 
1024x768;-Xms520m;Windows10;1;69630;22:46:17;3 
1280x1024;-Xms520m;Windows10;0;33548;22:46:57;3 
2560x1080;-Xms520m;Windows10;0;33485;22:47:36;3 
800x600;-Xms520m;Windows10;1;66873;22:48:48;7 
1024x768;-Xms520m;Windows10;1;68164;22:50:02;7 
1280x1024;-Xms520m;Windows10;0;32195;22:50:40;7 
2560x1080;-Xms520m;Windows10;0;31569;22:51:17;7 
